pollutant,per_capita_emissions,per_capita_gdp,gdp,year_first,year_last,main_data,include_1a2,include_bio,include_uk,include_aviation,balanced_panel,gaps_in_years,damage_est_source,scp,time_var_damages,ets_start_year,treatment_timing,ensure_common,unit_of_analysis,donor_countries,donor_sectors,treat_countries,treat_sectors,leave_one_out,country_to_leave_out,covariates,min_t0,inference,alpha,estimator,cv,r,em,criterion,n_problematic_units,y,d,samet0,n_t,n_t_post,index,n,ntr,nco,id_tr,id_co,n_removed,r_cv,sigma2,ic,pc,mspe,att_avg,att_low,att_high,att_p,att_avg_ci_low_high,eff,eff_mon,eff_y_mon,eff_per_tr,eff_per_tot,emissions_tr,emissions_tot,spec_id,date_time
nox,FALSE,FALSE,constant,1990,2018,edgar,emep21+23/un,yes,TRUE,control,FALSE,interpolate,uba_eu_27,13875.629025178923,FALSE,2005,common,TRUE,country_treat,same_as_treat,all_available,eu25_countries,ets_sectors,FALSE,NA,log_gdp + log_gdp_2,7,parametric,0.05,ife,TRUE,0,FALSE,mspe,0,log_emissions,treat_post,TRUE,29,14,unit_id + year,50,25,25,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,0,4,0.00132004658930949,-4.324074642955084,0.00592751072102119,0.00881415920118025,-29.61175311079224,-36.96804996816103,-21.396921757403575,4.5225845290985944e-10,"-29.61 [-36.97, -21.4]",-4843235.076428353,67.20293320225392,NA,-15,-4.1000000000000005,32250291.568783455,117965199.77666456,a9f55ae2-ae9d-4ddc-9e18-81215ef34249,2023-11-29 09:55:31.450287
nox,FALSE,FALSE,constant,1990,2018,edgar,emep21+23/un,yes,TRUE,exclude,FALSE,interpolate,uba_eu_27,13875.629025178923,FALSE,2005,common,TRUE,country_treat,same_as_treat,all_available,eu25_countries,ets_sectors,FALSE,NA,log_gdp + log_gdp_2,7,parametric,0.05,ife,TRUE,0,FALSE,mspe,0,log_emissions,treat_post,TRUE,29,14,unit_id + year,50,25,25,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,0,4,0.00133024569896213,-4.316378012628132,0.00597330859838441,0.00882899740391619,-29.512051431643727,-36.887966143126505,-21.27411224548713,5.592257767972342e-10,"-29.51 [-36.89, -21.27]",-4847807.662552693,67.26638071100093,NA,-15,-4.1000000000000005,32250291.568783455,117114832.15681957,af29d211-5012-4051-8bc1-a6da0a32c98a,2023-11-15 13:22:34.283795
nox,FALSE,FALSE,constant,1990,2021,emep23/un,emep21+23/un,yes,TRUE,control,FALSE,interpolate,uba_eu_27,13875.629025178923,FALSE,2002,common,TRUE,country_treat,same_as_treat,all_available,eu25_countries,ets_sectors,FALSE,NA,log_gdp + log_gdp_2,7,parametric,0.05,ife,TRUE,0,FALSE,mspe,0,log_emissions,treat_post,TRUE,32,20,unit_id + year,50,25,25,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,0,3,0.00351314414891321,-3.814195243503974,0.01146943876392905,0.01041541577632195,-14.095279168280616,-27.27092703479697,1.4672779440815464,0.0736961906963427,"-14.1 [-27.27, 1.47]",-6772811.934624887,93.97702586215932,NA,-14.4,-3,47041575.798506856,229426327.88170323,2041660f-7d1e-41be-8f3e-968d287192f8,2023-11-15 13:25:07.359907
nox,FALSE,FALSE,constant,1990,2021,emep23/un,emep21+23/un,yes,TRUE,control,FALSE,interpolate,uba_eu_27,13875.629025178923,FALSE,2005,common,TRUE,country_treat,same_as_treat,all_available,eu25_countries,ets_sectors,TRUE,Spain,log_gdp + log_gdp_2,7,parametric,0.05,ife,TRUE,0,FALSE,mspe,0,log_emissions,treat_post,TRUE,32,17,unit_id + year,48,24,24,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Sweden + United Kingdom,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Sweden + United Kingdom,0,4,0.0027897562005919,-3.5951942284202065,0.01181182982029909,0.00801805496596529,-13.579479284163586,-26.90434963904026,2.1744298588965982,0.08760127429552655,"-13.58 [-26.9, 2.17]",-2708984.282673244,37.58886094141437,NA,-8.3,-1.7000000000000002,32810759.505045943,161156021.68074226,093e9296-4b9e-4aba-ae74-9c8113089172,2023-11-15 13:15:43.732315
nox,FALSE,FALSE,constant,1990,2021,emep23/un,emep21+23/un,yes,TRUE,control,FALSE,interpolate,uba_eu_27,13875.629025178923,FALSE,2005,common,TRUE,country_treat,same_as_treat,all_available,eu25_countries,ets_sectors,TRUE,France,log_gdp + log_gdp_2,7,parametric,0.05,ife,TRUE,0,FALSE,mspe,0,log_emissions,treat_post,TRUE,32,17,unit_id + year,48,24,24,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,0,4,0.00282681235228024,-3.5819987376055824,0.01196872559400329,0.00774505332117875,-14.19718888394157,-26.236204236960457,-0.19328155145044157,0.04713941137562671,"-14.2 [-26.24, -0.19]",-4093395.752950321,56.79844092118161,NA,-11.9,-2.5,34417001.63262043,162128308.10918885,14598883-ebd7-4157-8959-27892c09525a,2023-11-15 13:12:46.196403
nox,FALSE,FALSE,constant,1990,2021,emep23/un,emep21+23/un,yes,TRUE,control,FALSE,interpolate,uba_eu_27,13875.629025178923,FALSE,2005,common,TRUE,country_treat,same_as_treat,all_available,eu25_countries,ets_sectors,TRUE,Cyprus,log_gdp + log_gdp_2,7,parametric,0.05,ife,TRUE,0,FALSE,mspe,0,log_emissions,treat_post,TRUE,32,17,unit_id + year,48,24,24,Austria + Belgium + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,Austria + Belgium + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,0,3,0.00307341708602745,-3.916531672855508,0.01045663736710426,0.00741904924628832,-11.8586590539416,-26.187009061022636,5.251066037847041,0.1631507184569032,"-11.86 [-26.19, 5.25]",-5087492.390079557,70.5921570731648,NA,-13.8,-2.7,36919940.05619172,185011184.08965096,149a2e4f-22a3-416a-a5dd-14c068a965c4,2023-11-15 13:07:17.26354
nox,FALSE,FALSE,constant,1990,2021,emep23/un,emep21+23/un,yes,TRUE,control,FALSE,interpolate,uba_eu_27,13875.629025178923,FALSE,2005,common,TRUE,country_treat,same_as_treat,all_available,eu25_countries,ets_sectors,TRUE,Portugal,log_gdp + log_gdp_2,7,parametric,0.05,ife,TRUE,0,FALSE,mspe,0,log_emissions,treat_post,TRUE,32,17,unit_id + year,48,24,24,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Slovakia + Slovenia + Spain + Sweden + United Kingdom,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Slovakia + Slovenia + Spain + Sweden + United Kingdom,0,4,0.00265609885971492,-3.6442899849352406,0.01124592453999626,0.00822937670202954,-13.241652185586828,-24.56816561897368,-0.21439916911274448,0.04658723344207471,"-13.24 [-24.57, -0.21]",-3706525.262742831,51.43036951827336,NA,-10.3,-2,36006705.36154045,181188570.3751,18cac35b-5a65-44be-a0e3-27d526b59fc2,2023-11-15 13:15:22.538621
nox,FALSE,FALSE,constant,1990,2019,emep23/un,emep21+23/un,yes,TRUE,control,FALSE,interpolate,uba_eu_27,13875.629025178923,FALSE,2005,common,TRUE,country_treat,same_as_treat,all_available,sdid_countries,ets_sectors,FALSE,NA,log_gdp + log_gdp_2,7,parametric,0.05,ife,TRUE,0,FALSE,mspe,0,log_emissions,treat_post,TRUE,30,15,unit_id + year,38,19,19,Austria + Belgium + Cyprus + Czechia + Denmark + Finland + France + Germany + Greece + Ireland + Italy + Luxembourg + Malta + Netherlands + Poland + Portugal + Spain + Sweden + United Kingdom,Austria + Belgium + Cyprus + Czechia + Denmark + Finland + France + Germany + Greece + Ireland + Italy + Luxembourg + Malta + Netherlands + Poland + Portugal + Spain + Sweden + United Kingdom,0,3,0.00209740754158489,-4.140902643570532,0.00981062190617436,0.00726191585855838,-7.458528803552333,-29.6802714040416,21.78550830890382,0.5800963404420929,"-7.46 [-29.68, 21.79]",-3217128.831150375,44.639686187250085,NA,-9.7,-1.9,33191949.093758285,165355708.30205178,1c07b94d-4728-4152-a0b8-01091343640c,2023-11-15 13:26:20.608476
nox,FALSE,FALSE,constant,1990,2021,emep23/un,emep21+23/un,yes,TRUE,control,FALSE,interpolate,uba_eu_27,13875.629025178923,FALSE,2005,common,TRUE,country_treat,same_as_treat,all_available,eu25_countries,ets_sectors,FALSE,NA,log_gdp + log_gdp_2 + log_renew_elec,7,parametric,0.05,ife,TRUE,0,FALSE,mspe,0,log_emissions,treat_post,TRUE,32,17,unit_id + year,50,25,25,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,0,4,0.00271156312820883,-3.652548750014909,0.01097761812313174,0.00898249581175609,-16.91468994798939,-29.815070105459935,-1.6431482255315766,0.03136489322450742,"-16.91 [-29.82, -1.64]",-5693061.384215281,78.99480778494285,NA,-15.4,-3.1,37045000.90465209,185625941.36959833,21501182-20de-48b0-9f19-8818f0f244d5,2023-11-15 13:38:57.29101
nox,FALSE,FALSE,constant,1990,2021,emep23/un,emep21+23/un,yes,TRUE,control,FALSE,interpolate,uba_eu_27,13875.629025178923,FALSE,2005,common,TRUE,country_treat,same_as_treat,all_available,eu25_countries,ets_sectors,FALSE,NA,log_gdp + log_gdp_2,7,nonparametric,0.05,mc,TRUE,0,FALSE,mspe,0,log_emissions,treat_post,TRUE,32,17,unit_id + year,50,25,25,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,Austria + Belgium + Cyprus + Czechia + Denmark + Estonia + Finland + France + Germany + Greece + Hungary + Ireland + Italy + Latvia + Lithuania + Luxembourg + Malta + Netherlands + Poland + Portugal + Slovakia + Slovenia + Spain + Sweden + United Kingdom,0,NA,NA,NA,NA,0.01190454881408086,-25.69420874078402,-34.89797346483048,-15.189266624819652,1.0732478405106605e-5,"-25.69 [-34.9, -15.19]",-10011456.740668189,138.9152597351387,NA,-27,-5.4,37045000.90465209,185625941.36959833,231ecfb2-0e1b-4d0a-a3cd-6a8fbde78a29,2023-11-15 13:28:33.449612
